EBD,DMF,EI,LSI,AGE,HSAA,HFA,SRH,PHL,DV,UWHF,MUF,SD,ST,EPK,GEN,LSC,EDU,PAI,PSM,Y
1,5,1,1,73,2,2,2,1,1,5,3,2,3,2,1,63,7,5,1,1
1,1,1,1,69,2,4,2,1,4,4,1,1,3,0,1,50,4,4,0,1
2,2,2,2,63,3,3,3,2,2,3,2,2,3,0,2,120,3,2,2,2
2,4,2,2,38,3,3,2,2,2,2,3,1,4,2,2,129,4,1,2,2
2,5,2,2,57,3,3,3,2,2,3,2,2,3,0,2,71,6,6,0,2
4,5,2,1,38,4,4,4,1,2,5,1,1,3,4,2,120,4,0,0,4
2,3,2,2,29,2,3,4,1,2,1,3,2,3,2,1,90,10,4,-3,2
1,5,1,1,86,1,1,2,2,1,1,4,2,4,1,1,90,3,0,4,1
2,5,2,2,59,3,3,3,2,2,3,2,2,3,0,2,117,4,0,0,2
2,4,2,2,36,3,3,3,2,2,3,2,2,3,1,1,122,4,8,2,2
2,5,2,2,35,3,3,3,2,2,3,2,2,3,5,2,89,4,4,0,2
2,4,2,2,51,1,4,3,2,3,3,3,2,4,1,2,90,3,0,1,2
2,2,2,2,57,3,3,3,2,2,3,2,2,3,0,2,200,4,0,0,2
2,4,2,2,60,3,3,3,2,2,3,2,2,3,3,1,90,4,2,2,2
2,3,2,2,25,3,3,3,2,2,3,2,2,3,0,1,56,10,1000,1,2
3,3,2,1,53,4,4,2,2,1,2,3,2,2,1,2,80,1,2,0,3
1,4,3,2,29,4,4,2,1,3,2,2,3,4,3,2,120,11,6,-2,1
2,5,2,2,54,3,3,3,2,2,3,2,2,3,2,2,80,4,5,1,2
2,5,2,2,84,3,3,3,2,2,3,2,2,3,0,1,200,3,1,1,2
2,3,4,2,58,4,4,2,3,3,3,3,2,3,0,2,110,4,3,1,2
2,4,2,2,53,3,3,3,2,2,3,2,2,3,2,2,100,3,2,2,2
4,3,2,5,80,2,3,1,4,4,1,3,4,4,0,1,80,4,1,-2,4
4,2,3,5,62,3,4,1,5,3,1,5,3,2,0,2,60,4,2,1,5
2,4,2,2,55,3,3,3,2,2,3,2,2,3,0,1,40,12,50,0,2
2,5,2,2,24,3,3,3,2,2,3,2,2,3,0,2,119,10,999,0,2
2,2,2,2,55,3,3,3,2,2,3,2,2,3,1,2,119,3,1,0,2
2,4,2,2,40,3,3,3,2,2,3,2,2,3,2,2,85,4,3,2,2
